iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
NG;Nigeria;EN;3;Areas;Uburu;Ebonyi;Ohaozara;Uburu;-;NG-EB;NI53;;NG.EB.OZ;11011
NG;Nigeria;EN;3;Areas;Ucha;Benue;Logo;Ucha;-;NG-BE;NI26;;NG.BE.LO;07012
NG;Nigeria;EN;3;Areas;Udege;Nasarawa;Nasarawa;Udege;-;NG-NA;NI56;;NG.NA.NA;26009
NG;Nigeria;EN;3;Areas;Udi;Enugu;Udi;Udi;-;NG-EN;NI47;;NG.EN.UD;14016
NG;Nigeria;EN;3;Areas;Udo;Edo;Esan South-East;Udo;-;NG-ED;NI37;;NG.ED.ES;12005
NG;Nigeria;EN;3;Areas;Udo;Imo;Ezinihitte-Mbaise;Udo;-;NG-IM;NI28;;NG.IM.EZ;17004
NG;Nigeria;EN;3;Areas;Udo;Edo;Ovia South-West;Udo;-;NG-ED;NI37;;NG.ED.OS;12015
NG;Nigeria;EN;3;Areas;Udu;Delta;Udu;Udu;-;NG-DE;NI36;;NG.DE.UD;10018
NG;Nigeria;EN;3;Areas;Udubo;Bauchi;Gamawa;Udubo;-;NG-BA;NI46;;NG.BA.GM;05007
NG;Nigeria;EN;3;Areas;Udueme;Enugu;Igbo Etiti;Udueme;-;NG-EN;NI47;;NG.EN.IE;14007
NG;Nigeria;EN;3;Areas;Udunedem;Enugu;Udenu;Udunedem;-;NG-EN;NI47;;NG.EN.UN;14015
NG;Nigeria;EN;3;Areas;Ufuma;Anambra;Orumba North;Ufuma;-;NG-AN;NI25;;NG.AN.OR;04019
NG;Nigeria;EN;3;Areas;Uga;Anambra;Aguata;Uga;-;NG-AN;NI25;;NG.AN.AG;04001
NG;Nigeria;EN;3;Areas;Ugang;Cross River;Obudu;Ugang;-;NG-CR;NI22;;NG.CR.OU;09014
NG;Nigeria;EN;3;Areas;Ugbawka;Enugu;Nkanu East;Ugbawka;-;NG-EN;NI47;;NG.EN.NE;14011
NG;Nigeria;EN;3;Areas;Ugbegun;Edo;Esan Central;Ugbegun;-;NG-ED;NI37;;NG.ED.EC;12004
NG;Nigeria;EN;3;Areas;Ugbelle;Imo;Ideato South;Ugbelle;-;NG-IM;NI28;;NG.IM.ID;17006
NG;Nigeria;EN;3;Areas;Ugbene;Anambra;Awka North;Ugbene;-;NG-AN;NI25;;NG.AN.AN;04005
NG;Nigeria;EN;3;Areas;Ugbene;Enugu;Uzo Uwani;Ugbene;-;NG-EN;NI47;;NG.EN.UU;14017
NG;Nigeria;EN;3;Areas;Ugbo;Enugu;Awgu;Ugbo;-;NG-EN;NI47;;NG.EN.AW;14002
NG;Nigeria;EN;3;Areas;Ugbogue;Edo;Ovia South-West;Ugbogue;-;NG-ED;NI37;;NG.ED.OS;12015
NG;Nigeria;EN;3;Areas;Ugboji;Ebonyi;Ezza North;Ugboji;-;NG-EB;NI53;;NG.EB.EN;11005
NG;Nigeria;EN;3;Areas;Ugboju;Benue;Ohimini;Ugboju;-;NG-BE;NI26;;NG.BE.OH;07016
NG;Nigeria;EN;3;Areas;Ugbo Kingdom;Ondo;Ilaje;Ugbo Kingdom;-;NG-ON;NI48;;NG.ON.IL;29010
NG;Nigeria;EN;3;Areas;Ugboko;Edo;Orhionmwon;Ugboko;-;NG-ED;NI37;;NG.ED.OH;12013
NG;Nigeria;EN;3;Areas;Ugborhen;Delta;Sapele;Ugborhen;-;NG-DE;NI36;;NG.DE.SA;10017
NG;Nigeria;EN;3;Areas;Ugbo-Rodo;Delta;Warri North;Ugbo-Rodo;-;NG-DE;NI36;;NG.DE.WN;10023
NG;Nigeria;EN;3;Areas;Ugbuenu;Anambra;Awka North;Ugbuenu;-;NG-AN;NI25;;NG.AN.AN;04005
NG;Nigeria;EN;3;Areas;Ughelli;Delta;Ughelli North;Ughelli;-;NG-DE;NI36;;NG.DE.UN;10019
NG;Nigeria;EN;3;Areas;Ughiev-wen;Delta;Ughelli South;Ughiev-wen;-;NG-DE;NI36;;NG.DE.US;10020
NG;Nigeria;EN;3;Areas;Ugondo;Benue;Logo;Ugondo;-;NG-BE;NI26;;NG.BE.LO;07012
NG;Nigeria;EN;3;Areas;Ugri-Ike / Okwu;Imo;Ikeduru;Ugri-Ike / Okwu;-;NG-IM;NI28;;NG.IM.IK;17008
NG;Nigeria;EN;3;Areas;Ugu;Edo;Orhionmwon;Ugu;-;NG-ED;NI37;;NG.ED.OH;12013
NG;Nigeria;EN;3;Areas;Ugun;Edo;Igueben;Ugun;-;NG-ED;NI37;;NG.ED.IG;12010
NG;Nigeria;EN;3;Areas;Uguri;Imo;Isiala Mbano;Uguri;-;NG-IM;NI28;;NG.IM.IM;17009
NG;Nigeria;EN;3;Areas;Ugwo-Lawo;Kogi;Ofu;Ugwo-Lawo;-;NG-KO;NI41;;NG.KO.OF;23014
NG;Nigeria;EN;3;Areas;Ugwuaji;Enugu;Enugu South;Ugwuaji;-;NG-EN;NI47;;NG.EN.ES;14005
NG;Nigeria;EN;3;Areas;Ugwueke;Abia;Bende;Ugwueke;-;NG-AB;NI45;;NG.AB.BE;01004
NG;Nigeria;EN;3;Areas;Ugwu-Eme;Enugu;Awgu;Ugwu-Eme;-;NG-EN;NI47;;NG.EN.AW;14002
NG;Nigeria;EN;3;Areas;Ugwu-Langwu;Ebonyi;Ohaozara;Ugwu-Langwu;-;NG-EB;NI53;;NG.EB.OZ;11011
NG;Nigeria;EN;3;Areas;Ugwuna-Gbo;Abia;Ugwunagbo;Ugwuna-Gbo;-;NG-AB;NI45;;NG.AB.UG;01012
NG;Nigeria;EN;3;Areas;Ugwu-Nagbo;Abia;Ugwunagbo;Ugwu-Nagbo;-;NG-AB;NI45;;NG.AB.UG;01012
NG;Nigeria;EN;3;Areas;Ugwuoba;Enugu;Oji River;Ugwuoba;-;NG-EN;NI47;;NG.EN.OR;14014
NG;Nigeria;EN;3;Areas;Uhen;Edo;Ovia North-East;Uhen;-;NG-ED;NI37;;NG.ED.ON;12014
NG;Nigeria;EN;3;Areas;Uhi;Edo;Uhunmwonde;Uhi;-;NG-ED;NI37;;NG.ED.UH;12018
NG;Nigeria;EN;3;Areas;Uhiere;Edo;Ovia North-East;Uhiere;-;NG-ED;NI37;;NG.ED.ON;12014
NG;Nigeria;EN;3;Areas;Uhuna Owerre;Enugu;Igbo Eze North;Uhuna Owerre;-;NG-EN;NI47;;NG.EN.IN;14008
NG;Nigeria;EN;3;Areas;Ujiogba;Edo;Esan West;Ujiogba;-;NG-ED;NI37;;NG.ED.EW;12006
NG;Nigeria;EN;3;Areas;Ukana;Enugu;Udi;Ukana;-;NG-EN;NI47;;NG.EN.UD;14016
NG;Nigeria;EN;3;Areas;Ukana East;Akwa Ibom;Essien Udim;Ukana East;-;NG-AK;NI21;;NG.AK.EU;03005
NG;Nigeria;EN;3;Areas;Ukana west Clan;Akwa Ibom;Essien Udim;Ukana west Clan;-;NG-AK;NI21;;NG.AK.EU;03005
NG;Nigeria;EN;3;Areas;Ukawu;Ebonyi;Onicha;Ukawu;-;NG-EB;NI53;;NG.EB.ON;11013
NG;Nigeria;EN;3;Areas;Uke;Nasarawa;Karu;Uke;-;NG-NA;NI56;;NG.NA.KA;26004
NG;Nigeria;EN;3;Areas;Uke;Anambra;Idemili North;Uke;-;NG-AN;NI25;;NG.AN.IN;04010
NG;Nigeria;EN;3;Areas;Ukehe;Enugu;Igbo Etiti;Ukehe;-;NG-EN;NI47;;NG.EN.IE;14007
NG;Nigeria;EN;3;Areas;Ukhun;Edo;Esan West;Ukhun;-;NG-ED;NI37;;NG.ED.EW;12006
NG;Nigeria;EN;3;Areas;UkparamaI I / Arogbo I;Ondo;Ese Odo;UkparamaI I / Arogbo I;-;NG-ON;NI48;;NG.ON.EO;29007
NG;Nigeria;EN;3;Areas;Ukparama Ward II / Arogbo III;Ondo;Ese Odo;Ukparama Ward II / Arogbo III;-;NG-ON;NI48;;NG.ON.EO;29007
NG;Nigeria;EN;3;Areas;Ukpata;Enugu;Uzo Uwani;Ukpata;-;NG-EN;NI47;;NG.EN.UU;14017
NG;Nigeria;EN;3;Areas;Ukpo;Anambra;Dunukofia;Ukpo;-;NG-AN;NI25;;NG.AN.DU;04008
NG;Nigeria;EN;3;Areas;Ukpom Okom;Akwa Ibom;Ikot Abasi;Ukpom Okom;-;NG-AK;NI21;;NG.AK.IA;03013
NG;Nigeria;EN;3;Areas;Ukpor;Anambra;Nnewi South;Ukpor;-;NG-AN;NI25;;NG.AN.NS;04015
NG;Nigeria;EN;3;Areas;Ukpum Ete;Akwa Ibom;Ikot Abasi;Ukpum Ete;-;NG-AK;NI21;;NG.AK.IA;03013
NG;Nigeria;EN;3;Areas;Ukum;Anambra;Awka North;Ukum;-;NG-AN;NI25;;NG.AN.AN;04005
NG;Nigeria;EN;3;Areas;Ukwong;Akwa Ibom;Urue-Offong/Oruko;Ukwong;-;NG-AK;NI21;;NG.AK.UO;03030
NG;Nigeria;EN;3;Areas;Ukwong;Akwa Ibom;Okobo;Ukwong;-;NG-AK;NI21;;NG.AK.OK;03023
NG;Nigeria;EN;3;Areas;Ukwong;Akwa Ibom;Mbo;Ukwong;-;NG-AK;NI21;;NG.AK.MB;03017
NG;Nigeria;EN;3;Areas;Ukwuagba Mgbo;Ebonyi;Ohaukwu;Ukwuagba Mgbo;-;NG-EB;NI53;;NG.EB.OK;11012
NG;Nigeria;EN;3;Areas;Ukwulu;Anambra;Dunukofia;Ukwulu;-;NG-AN;NI25;;NG.AN.DU;04008
NG;Nigeria;EN;3;Areas;Ulayi;Benue;Ado;Ulayi;-;NG-BE;NI26;;NG.BE.AO;07001
NG;Nigeria;EN;3;Areas;Uli;Anambra;Ihiala;Uli;-;NG-AN;NI25;;NG.AN.IH;04012
